file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,248,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,10
style.css,249,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,17
style.css,250,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,251,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,252,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,21
style.css,253,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,10
style.css,254,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,19
style.css,255,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,30
style.css,256,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,18
style.css,257,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,21
style.css,258,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,259,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,260,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,41
style.css,261,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,24
style.css,262,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,52
style.css,263,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,15
style.css,264,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,265,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,266,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,42
style.css,267,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,37
style.css,268,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,12
style.css,269,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,270,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,271,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,35
style.css,272,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,30
style.css,273,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,22
style.css,274,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,275,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,276,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,5
style.css,277,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,15
